scan_id,region,gics_sector,signal_name,raw_value,z_value
111,US,Consumer Discretionary,return_6m,-0.0499805,-1.46772
111,US,Consumer Discretionary,rs_momentum,100.09,0.525373
111,US,Consumer Discretionary,rs_ratio,98.1582,-0.328543
111,US,Consumer Staples,above_200dma,0.0489595,-0.255636
111,US,Consumer Staples,above_50dma,0.0155166,0.16954
111,US,Consumer Staples,acceleration,-0.0456151,0.484842
111,US,Consumer Staples,breadth_above_50dma,0.628571,0.952636
111,US,Consumer Staples,ma50_slope,0.000529199,-0.206085
111,US,Consumer Staples,obv_slope,-0.0152591,-1.01143
111,US,Consumer Staples,return_1m,0.00266381,0.156163
111,US,Consumer Staples,return_3m,0.0482789,-0.303846
111,US,Consumer Staples,return_6m,0.0940653,-0.146787
111,US,Consumer Staples,rs_momentum,99.9796,0.156172
111,US,Consumer Staples,rs_ratio,100.233,0.438119
111,US,Energy,above_200dma,0.0643048,-0.0266282
111,US,Energy,above_50dma,-0.0580344,-1.46159
111,US,Energy,acceleration,0.0201253,1.29771
111,US,Energy,breadth_above_50dma,0.190476,-0.325438
111,US,Energy,ma50_slope,-0.00127727,-1.25878
111,US,Energy,obv_slope,-0.00414801,-0.261004
111,US,Energy,return_1m,-0.0930184,-1.7339
111,US,Energy,return_3m,-0.113144,-1.87056
111,US,Energy,return_6m,0.241147,1.20198
111,US,Energy,rs_momentum,99.668,-0.885115
111,US,Energy,rs_ratio,94.5671,-1.65572
111,US,Financials,above_200dma,0.0308212,-0.526327
111,US,Financials,above_50dma,0.0347477,0.596025
111,US,Financials,acceleration,-0.0560227,0.356154
111,US,Financials,breadth_above_50dma,0.684211,1.11495
111,US,Financials,ma50_slope,0.00132949,0.260272
111,US,Financials,obv_slope,0.0327442,2.23064
111,US,Financials,return_1m,0.0378934,0.852073
111,US,Financials,return_3m,0.093916,0.139094
111,US,Financials,return_6m,-0.00848524,-1.0872
111,US,Financials,rs_momentum,99.8945,-0.128227
111,US,Financials,rs_ratio,102.267,1.1899
111,US,Health Care,above_200dma,0.0343705,-0.473359
111,US,Health Care,above_50dma,0.039502,0.701461
111,US,Health Care,acceleration,-0.0361954,0.601313
111,US,Health Care,breadth_above_50dma,0.711864,1.19563
111,US,Health Care,ma50_slope,0.000590245,-0.170511
111,US,Health Care,obv_slope,0.0277665,1.89445
111,US,Health Care,return_1m,0.0275957,0.648658
111,US,Health Care,return_3m,0.0637912,-0.153289
111,US,Health Care,return_6m,0.00244038,-0.987007
111,US,Health Care,rs_momentum,99.7201,-0.711273
111,US,Health Care,rs_ratio,99.9342,0.327807
111,US,Industrials,above_200dma,0.107941,0.624592
111,US,Industrials,above_50dma,0.0384277,0.677637
111,US,Industrials,acceleration,-0.0498283,0.432746
111,US,Industrials,breadth_above_50dma,0.734177,1.26072
111,US,Industrials,ma50_slope,0.00140572,0.304693
111,US,Industrials,obv_slope,0.00349643,0.25529
111,US,Industrials,return_1m,0.0517167,1.12513
111,US,Industrials,return_3m,0.101545,0.213138
111,US,Industrials,return_6m,0.166313,0.515736
111,US,Industrials,rs_momentum,100.041,0.360792
111,US,Industrials,rs_ratio,101.715,0.986076
111,US,Materials,above_200dma,0.071461,0.0801686
111,US,Materials,above_50dma,0.000280535,-0.168349
111,US,Materials,acceleration,-0.0387787,0.569372
111,US,Materials,breadth_above_50dma,0.653846,1.02637
111,US,Materials,ma50_slope,0.000410026,-0.275531
111,US,Materials,obv_slope,0.0116727,0.807506
111,US,Materials,return_1m,0.0211034,0.520412
111,US,Materials,return_3m,0.0598822,-0.191228
111,US,Materials,return_6m,0.142736,0.299531
111,US,Materials,rs_momentum,99.9551,0.0742265
111,US,Materials,rs_ratio,100.389,0.496041
111,US,Real Estate,above_200dma,0.0717179,0.0840019
111,US,Real Estate,above_50dma,0.0150676,0.159582
111,US,Real Estate,acceleration,-0.10679,-0.271576
111,US,Real Estate,breadth_above_50dma,0.741935,1.28336
111,US,Real Estate,ma50_slope,0.00119566,0.182289
111,US,Real Estate,obv_slope,0.00170633,0.134389
111,US,Real Estate,return_1m,0.00763088,0.25428
111,US,Real Estate,return_3m,0.114421,0.33811
111,US,Real Estate,return_6m,0.133048,0.210695
111,US,Real Estate,rs_momentum,99.7682,-0.550208
111,US,Real Estate,rs_ratio,99.9268,0.325054
111,US,Technology,above_200dma,0.222326,2.33162
111,US,Technology,above_50dma,0.0489883,0.911839
111,US,Technology,acceleration,-0.33012,-3.033
111,US,Technology,breadth_above_50dma,0.594595,0.853514
111,US,Technology,ma50_slope,0.00560721,2.75306
111,US,Technology,obv_slope,-0.0029089,-0.177317
111,US,Technology,return_1m,0.0159558,0.418728
111,US,Technology,return_3m,0.346076,2.58648
111,US,Technology,return_6m,0.270916,1.47497
111,US,Technology,rs_momentum,100.229,0.989178
111,US,Technology,rs_ratio,99.3572,0.114542
111,US,Utilities,above_200dma,0.0354765,-0.456853
111,US,Utilities,above_50dma,0.0169371,0.201042
111,US,Utilities,acceleration,-0.00582729,0.976808
111,US,Utilities,breadth_above_50dma,0.903226,1.7539
111,US,Utilities,ma50_slope,-0.000730249,-0.940012
111,US,Utilities,obv_slope,0.0153115,1.05327
111,US,Utilities,return_1m,0.010602,0.31297
111,US,Utilities,return_3m,0.0164293,-0.612969
111,US,Utilities,return_6m,0.0907101,-0.177555
111,US,Utilities,rs_momentum,100.495,1.87813
111,US,Utilities,rs_ratio,100.963,0.708097
112,EU,Communication Services,above_200dma,0.0982909,0.48057
112,EU,Communication Services,above_50dma,-0.0245536,-0.719094
112,EU,Communication Services,acceleration,-0.102826,-0.222562
112,EU,Communication Services,breadth_above_50dma,,-0.879533
112,EU,Communication Services,ma50_slope,0.000280057,-0.351269
112,EU,Communication Services,obv_slope,0.00214857,0.164258
112,EU,Communication Services,return_1m,-0.0737225,-1.35274
112,EU,Communication Services,return_3m,0.0291038,-0.489953
112,EU,Communication Services,return_6m,0.221678,1.02345
112,EU,Communication Services,rs_momentum,99.8996,-0.111333
112,EU,Communication Services,rs_ratio,94.7944,-1.57173
112,EU,Consumer Discretionary,above_200dma,0.00833184,-0.861951
112,EU,Consumer Discretionary,above_50dma,0.0545007,1.03409
112,EU,Consumer Discretionary,acceleration,-0.0507952,0.42079
112,EU,Consumer Discretionary,breadth_above_50dma,,-0.879533
112,EU,Consumer Discretionary,ma50_slope,0.00126197,0.220928
112,EU,Consumer Discretionary,obv_slope,0.00218075,0.166431
112,EU,Consumer Discretionary,return_1m,0.049027,1.072
112,EU,Consumer Discretionary,return_3m,0.0998222,0.196417
112,EU,Consumer Discretionary,return_6m,-0.0517218,-1.48369
